서비스_업종_코드_명,기준_년분기_코드,개업률,폐업률
한식음식점,20251,3.23,2.32
한식음식점,20252,2.52,2.67
한식음식점,20253,2.45,2.45
한식음식점,20254,2.69,3.11
한식음식점,20261,2.81,2.56
중식음식점,20251,2.71,1.71
중식음식점,20252,3.22,1.73
중식음식점,20253,3.34,1.35
중식음식점,20254,3.35,1.65
중식음식점,20261,3.23,2.14
일식음식점,20251,1.98,2.14
일식음식점,20252,2.12,2.52
일식음식점,20253,2.13,2.43
일식음식점,20254,2.07,2.22
일식음식점,20261,2.13,2.84
양식음식점,20251,1.47,2.16
양식음식점,20252,1.86,2.65
양식음식점,20253,2.02,2.28
양식음식점,20254,1.72,2.26
양식음식점,20261,1.44,2.4
분식전문점,20251,1.68,1.66
분식전문점,20252,1.54,0.96
분식전문점,20253,1.65,1.05
분식전문점,20254,1.49,1.84
분식전문점,20261,1.6,1.49
패스트푸드점,20251,1.4,2.5
패스트푸드점,20252,2.09,2.0
패스트푸드점,20253,1.65,2.7
패스트푸드점,20254,1.59,2.76
패스트푸드점,20261,1.85,2.27
제과점,20251,2.4,2.21
제과점,20252,2.33,2.32
제과점,20253,2.14,2.2
제과점,20254,2.25,2.65
제과점,20261,2.1,2.12
커피-음료,20251,2.93,2.95
커피-음료,20252,2.8,2.15
커피-음료,20253,2.77,2.17
커피-음료,20254,3.13,2.44
커피-음료,20261,2.62,2.88
치킨전문점,20251,3.67,1.83
치킨전문점,20252,3.2,1.9
치킨전문점,20253,3.57,1.77
치킨전문점,20254,3.59,1.68
치킨전문점,20261,3.13,1.62
호프-간이주점,20251,2.22,2.3
호프-간이주점,20252,2.95,2.16
호프-간이주점,20253,2.91,2.0
호프-간이주점,20254,2.52,2.02
호프-간이주점,20261,2.42,2.64
반찬가게,20251,1.67,1.44
반찬가게,20252,0.99,0.97
반찬가게,20253,1.74,1.22
반찬가게,20254,1.85,1.61
반찬가게,20261,1.61,1.73
