상권_코드,행정동_base,제목,언론사,날짜,링크
3000001,목1동,서울 목1동 상권 임대료 동향 분석 결과 1-0,한국경제,2026-07-25,https://hankyung.com/article/10
3000001,목1동,서울 목1동 상권 임대료 동향 분석 결과 1-1,매일경제,2026-07-26,https://mk.co.kr/article/11
3000841,목49동,서울 목49동 상권 임대료 동향 분석 결과 2-0,한국경제,2026-06-21,https://hankyung.com/article/20
3000841,목49동,서울 목49동 상권 임대료 동향 분석 결과 2-1,매일경제,2026-07-11,https://mk.co.kr/article/21
3000841,목49동,서울 목49동 상권 임대료 동향 분석 결과 2-2,서울경제,2026-06-16,https://sedaily.com/article/22
3000933,목141동,서울 목141동 상권 임대료 동향 분석 결과 4-0,한국경제,2026-07-24,https://hankyung.com/article/40
3000933,목141동,서울 목141동 상권 임대료 동향 분석 결과 4-1,매일경제,2026-08-18,https://mk.co.kr/article/41
3000620,목224동,서울 목224동 상권 임대료 동향 분석 결과 5-0,한국경제,2026-07-12,https://hankyung.com/article/50
3000620,목224동,서울 목224동 상권 임대료 동향 분석 결과 5-1,매일경제,2026-08-02,https://mk.co.kr/article/51
3000620,목224동,서울 목224동 상권 임대료 동향 분석 결과 5-2,서울경제,2026-07-13,https://sedaily.com/article/52
3000659,목263동,서울 목263동 상권 임대료 동향 분석 결과 7-0,한국경제,2026-06-20,https://hankyung.com/article/70
3000659,목263동,서울 목263동 상권 임대료 동향 분석 결과 7-1,매일경제,2026-07-07,https://mk.co.kr/article/71
3000659,목263동,서울 목263동 상권 임대료 동향 분석 결과 7-2,서울경제,2026-07-29,https://sedaily.com/article/72
3000346,목346동,서울 목346동 상권 임대료 동향 분석 결과 8-0,한국경제,2026-07-31,https://hankyung.com/article/80
3000346,목346동,서울 목346동 상권 임대료 동향 분석 결과 8-1,매일경제,2026-07-23,https://mk.co.kr/article/81
3000346,목346동,서울 목346동 상권 임대료 동향 분석 결과 8-2,서울경제,2026-08-02,https://sedaily.com/article/82
3001009,목217동,서울 목217동 상권 임대료 동향 분석 결과 10-0,한국경제,2026-06-08,https://hankyung.com/article/100
3000612,목216동,서울 목216동 상권 임대료 동향 분석 결과 11-0,한국경제,2026-07-04,https://hankyung.com/article/110
3001105,목313동,서울 목313동 상권 임대료 동향 분석 결과 13-0,한국경제,2026-05-25,https://hankyung.com/article/130
3001105,목313동,서울 목313동 상권 임대료 동향 분석 결과 13-1,매일경제,2026-08-05,https://mk.co.kr/article/131
3001105,목313동,서울 목313동 상권 임대료 동향 분석 결과 13-2,서울경제,2026-06-23,https://sedaily.com/article/132
3000489,목93동,서울 목93동 상권 임대료 동향 분석 결과 14-0,한국경제,2026-07-29,https://hankyung.com/article/140
