상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,상권_구분_코드_명,자치구_코드_명,행정동_코드,행정동_코드_명,유형,유효수요,공급밀도,동일유형_중앙_공급밀도,공급갭,행정동_폐업률,전체_점포_수,당월_매출_금액,당월_매출_건수,갭점수,안정성점수,종합점수
3000000,목상권0,CS100000,한식음식점,골목상권,목구0,11000000,목0동,유입 집중형,0.5169563903129192,5.741037566752304,30.470022382969884,0.999,0.2549396587789712,100,131517427,6837,1.0,0.9681,0.9872
3000001,목상권1,CS100001,중식음식점,발달상권,목구1,11000001,목1동,청년 밀집형,0.5388029278145943,47.00402715978347,29.466348833438218,0.897251778386909,0.0,21,741093986,15594,0.8971,1.0,0.9383
3000002,목상권2,CS100002,일식음식점,전통시장,목구2,11000002,목2동,가족 주거형,0.6248187142879149,36.584373346826276,55.847392664901115,0.8969912798217146,1.5855279574422765,198,607200508,49981,0.8969,0.8018,0.8589
3000003,목상권3,CS100003,양식음식점,관광특구,목구3,11000003,목3동,일반 주거·생활형,0.6057038931169345,27.497699326748013,34.82427233741036,0.46955929709373334,1.5855279574422765,172,347350851,7357,0.4647,0.8018,0.5995
3000004,목상권4,CS100004,분식전문점,골목상권,목구4,11000004,목4동,발달상권형,0.18015472248555683,3.9909876296522233,44.00528804677906,0.2068429751941275,1.5855279574422765,83,436214708,33847,0.199,0.8018,0.4401
3000005,목상권5,CS100005,패스트푸드점,발달상권,목구5,11000005,목5동,전통시장형,0.31423075975843245,5.89518129823934,54.71993113162375,0.16162804440675518,1.5855279574422765,61,398839881,42848,0.1533,0.8018,0.4127
3000006,목상권6,CS100006,제과점,전통시장,목구6,11000006,목6동,관광특구형,0.998,15.01863335030476,51.38736304231676,0.24214854185432383,1.8501094434735084,23,943438431,22495,0.2347,0.7687,0.4483
3000007,목상권7,CS100007,커피-음료,관광특구,목구7,11000007,목7동,유입 집중형,0.002,8.000601780471278,34.52233877831729,0.3358859711286532,7.462052575909911,26,558967818,36452,0.3295,0.0671,0.2245
3000008,목상권8,CS100008,치킨전문점,골목상권,목구8,11000008,목8동,청년 밀집형,0.7111279456321629,27.56128110680076,28.347954410505313,0.6308344920655723,4.376316333587354,66,439013433,34938,0.6277,0.4529,0.5578
3000009,목상권9,CS100009,호프-간이주점,발달상권,목구9,11000009,목9동,가족 주거형,0.47634631940804933,41.74357611986042,34.0743912467621,0.35703903743452015,2.358923183479778,104,45503422,11058,0.3509,0.7051,0.4926
3000010,목상권10,CS100010,반찬가게,전통시장,목구10,11000010,목10동,일반 주거·생활형,0.28095965158730285,38.63861097112722,29.107589247764203,0.21249755153455535,0.014050929432659842,165,684294128,42972,0.2047,0.9982,0.5221
3000011,목상권11,CS100000,한식음식점,관광특구,목구11,11000011,목11동,발달상권형,0.33612537631527656,14.203203660704597,56.86955010065431,0.3764089244048195,4.733116009273873,154,4219953,19356,0.3705,0.4083,0.3856
3000012,목상권12,CS100001,중식음식점,골목상권,목구12,11000012,목12동,전통시장형,0.12415353800207872,45.03184034026065,40.23973580767749,0.08546149509026078,5.0344749674056,119,373339857,37755,0.0763,0.3706,0.194
3000013,목상권13,CS100002,일식음식점,발달상권,목구13,11000013,목13동,관광특구형,0.3798805092791849,11.18304252822229,22.812300383988543,0.02139623982918077,4.068668382842816,175,404139225,46009,0.0115,0.4914,0.2035
3000014,목상권14,CS100003,양식음식점,전통시장,목구14,11000014,목14동,유입 집중형,0.3571830226544035,44.84756800923235,41.52657037134574,0.3751102677551613,7.22002030825726,64,352617399,8519,0.3692,0.0974,0.2605
3000015,목상권15,CS100004,분식전문점,관광특구,목구15,11000015,목15동,청년 밀집형,0.3962429461619314,14.574796236783037,48.40483423669058,0.08533323399777816,3.489643826079633,161,202751788,4756,0.0761,0.5637,0.2711
3000016,목상권16,CS100005,패스트푸드점,골목상권,목구16,11000016,목16동,가족 주거형,0.309519821816499,41.67319706148303,56.154312271847274,0.198682492091529,7.538690398125255,87,443107974,20014,0.1908,0.0576,0.1375
3000017,목상권17,CS100006,제과점,발달상권,목구17,11000017,목17동,일반 주거·생활형,0.26705731094508817,19.1748110923387,50.99042647562791,0.6454755275774334,6.1068475765762145,105,853184931,18955,0.6425,0.2366,0.4801
3000018,목상권18,CS100007,커피-음료,전통시장,목구18,11000018,목18동,발달상권형,0.48937849048566123,10.55341848257386,36.001323881627165,0.2978669626507685,2.274312184522805,69,804275314,33819,0.291,0.7157,0.4609
3000019,목상권19,CS100008,치킨전문점,관광특구,목구19,11000019,목19동,전통시장형,0.5742054577276982,22.178752202479536,57.04305658018271,0.5432681252402988,5.256319994113165,76,53045498,30850,0.5392,0.3429,0.4607
3000020,목상권20,CS100009,호프-간이주점,골목상권,목구20,11000020,목20동,관광특구형,0.25050581547975487,28.471910453563645,55.67173252427367,0.39255325234703625,5.8873387619522655,50,701589881,2306,0.3868,0.264,0.3377
3000021,목상권21,CS100010,반찬가게,발달상권,목구21,11000021,목21동,유입 집중형,0.14434944760670082,10.386603345978942,50.16803959941622,0.7451291652101956,0.6603591598619438,120,419685101,37993,0.7433,0.9174,0.8129
3000022,목상권22,CS100000,한식음식점,전통시장,목구22,11000022,목22동,청년 밀집형,0.38664569860793596,24.938472314466978,40.52996901465754,0.5644254793875502,0.8308500083105317,103,866119916,7349,0.5606,0.8961,0.6948
3000023,목상권23,CS100001,중식음식점,관광특구,목구23,11000023,목23동,가족 주거형,0.7714200780643335,1.9234235751689144,46.14861525589255,0.29042619743800124,6.158191798754522,24,848445843,13449,0.2835,0.2301,0.2621
3000024,목상권24,CS100002,일식음식점,골목상권,목구24,11000024,목24동,일반 주거·생활형,0.24579677762557361,1.6545460351611099,29.72658846142622,0.06897675286418484,1.7358916722608413,45,788029188,8505,0.0596,0.783,0.349
