제목,언론사,날짜,링크,요약
"카페24, 한국직업전문학교와 실무형 AI 인재 키운다",이데일리,2026-08-21,https://www.edaily.co.kr/News/Read?newsId=02712566645549616&mediaCodeNo=257&utm_source=naver&utm_medium=referral&utm_campaign=news_syndication&utm_content=original_article,"AI 인프라 기반 프로젝트형 교육과정 공동 개발 AI 스페이스·LLM 라우터로 구현·배포 실습 지원 현업 특강·멘토링·창업·취업 연계 협력 [이데일리 이소현 기자] 카페24(042000)가 한국직업전문학교와 손잡고 실무형 인공지능(AI) 인재 양성에 나선다. 교육생들이 AI를 활용한 프로젝트를 직접 수행하고, 결과물을 실제 서비스로 구현·배포하는 현장 중심..."
"""불 꺼지지 않는 도시 만들겠다""…서울, 5조 '야간경제' 실험 [김영리의 서울메이트]",한국경제,2026-08-21,https://www.hankyung.com/article/202608202452i,"서울시 '24시간 활력경제도시' 발표 체육시설 269곳·문화시설 8곳 운영 연장 야간명소 잇는 '반딧불이버스' 10월 운행 5년 뒤 야간소비 5조원 추가 창출 목표 시설 운영인력·외곽 교통 대책은 보완 과제 /사진=서울시 제공 밤 10시 서울 남산에 올라 도심 야경을 감상하고, 자정까지 집 근처 체육시설에서 운동한다. 퇴근이 늦은 직장인은 오후 9시까지 문..."
"카페24, 한국직업전문학교와 함께 실무형 AI 인재 키운다",헤럴드경제,2026-08-21,https://biz.heraldcorp.com/article/10847541?ref=naver,AI 인프라 기반 프로젝트형 교육 공동 운영 프로젝트 수행부터 서비스 구현까지 현장 중심 지원 노수열(왼쪽) 한국직업전문학교 대표와 김재은 카페24 비즈플랫폼팀 총괄팀장이 AI 인재 양성을 우한 산학협력 업무협약을 체결하고 기념 촬영하는 모습 [카페24 제공] [헤럴드경제=차민주 기자] 카페24가 한국직업전문학교와 손잡고 산업 현장에서 활약할 실무형 인공지...
유동인구만 보면 놓친다…좋은 상권은 ‘수요의 겹침’이 다르다,한국경제,2026-08-21,https://www.hankyung.com/article/202608201908O,"밸류업 인사이트 사람 수보다 누가·언제·왜 소비하는지 봐야 임차인 매출의 안정성이 결국 건물 NOI를 지탱한다 (AI로 생성한 예시 이미지) 상가나 꼬마빌딩을 볼 때 빠지지 않는 말이 있습니다. ‘유동인구가 많다’는 표현입니다. 물론 사람이 없는 곳에서 좋은 상권이 만들어지기는 어렵습니다. 하지만 같은 1만명이 지나가더라도 누가 오는지, 언제 오는지, 실제..."
"'서울 속 작은 프랑스' 서래마을, 서초구 9호 골목형상점가로 선정 [동네방네]",이데일리,2026-08-21,https://www.edaily.co.kr/News/Read?newsId=03394806645549616&mediaCodeNo=257&utm_source=naver&utm_medium=referral&utm_campaign=news_syndication&utm_content=original_article,"서초구, 골목형상점가 확대 정책 [이데일리 김태형 기자] 서초구(구청장 전성수)는 19일 서래마을 일대 상권을 서초구 제9호 골목형상점가로 지정했다. 골목형상점가는 업종과 관계없이 2,000㎡ 이내에 소상공인이 운영하는 점포가 15개 이상 밀집한 곳을 지정해 전통시장에 준하는 지원을 받을 수 있도록 한 제도다. 전성수(오른쪽) 서초구청장이 19일 서래마을 ..."
"[로컬기업, 지역경제 판 바꾼다] ① 줄 서는 로컬의 비밀, 희소성으로 상권·일자리 키운다",조선비즈,2026-08-21,https://biz.chosun.com/industry/business-venture/2026/08/21/7B4DTU6MLVDJJBWOGZWGRMLJVM/?utm_source=naver&utm_medium=original&utm_campaign=biz,"대전의 자존심 ‘성심당’ 부산 자연과 고급 커피 결합한 ‘모모스커피’ 양양을 서핑 메카로 ‘서피비치’ 지역 자원에 창의성 더해 새로운 소비, 문화 만들어 ‘핵점포’ 중심, 주변 상권 활력…“세계시장으로 확장” 대한민국 경제의 뿌리인 지방 상권이 흔들리고 있다. 고임금·고금리·고물가 ‘3중고’에 인구 감소와 고령화까지 겹치며 지역 소상공인이 벼랑 끝으로 내몰..."
‘우버의 민족’이 온다…관전 포인트 5 [스페셜리포트],매일경제,2026-08-20,https://www.mk.co.kr/article/12127721,국내 배달 플랫폼 시장에 또 한 번 초대형 딜(인수합병 거래)이 성사됐다. 배달앱 1위 배달의민족(배민) 주인이 독일 딜리버리히어로(DH)에서 미국 우버로 바뀔 예정이다. 우버가 DH 전체를 인수하는 거래가 완료되면 배민 운영사 우아한형제들도 우버 산하로 들어간다. 당장 ‘우버의 민족’이 탄생하는 것은 아니다. 공개매수와 각국 기업결합 심사 등 넘어야 할 ...
성심당 100m 밖은 '폐업 지옥'…빵만 사고 떠난다 [벼랑 끝 사장님],한국경제,2026-08-20,https://www.hankyung.com/article/202608198593H,"'빵지순례' 열풍에도 대전 상권 '텅텅' 외국인, 서울~대전 기차 예약 전년 대비 1840% 급증 100m 밖 골목·궁동 대학가엔 '임대' 딱지 한 자영업자 ""하루 매출 10만원도 안 나와"" 전문가 ""빵만 사서 떠나…체류 콘텐츠 필요"" 대전시 궁동의 한 상가 모습. 임대 문의 현수막이 붙어있다. /사진=이정우 기자 ""돈을 벌려고 매장을 운영하는 건데 나날이..."
"밤에도 체육·문화 즐긴다…오세훈 ""야간경제로 5兆 소비 창출""(종합)",아시아경제,2026-08-20,https://view.asiae.co.kr/article/2026082012414969691,"오세훈 시장, 20일 서울형 야간경제 발표 체육·공원 운영 시간 확대…힐링행사 개최 달빛야장 지정하고 교통편 확충…조례 마련 서울시가 야간에도 안전하게 관광을 즐기고 문화·운동·여가 활동을 할 수 있는 '서울형 야간경제'를 본격 추진한다. 동대문디자인플라자(DDP)와 남산, 광화문, 한강을 4대 야간 랜드마크로 육성한다. 이를 통해 2030년까지 야간소비 ..."
서울 밤길 달라진다…‘반딧불이버스’ 띄우고 야간경제 특구 추진,이데일리,2026-08-20,https://www.edaily.co.kr/news/newspath.asp?newsid=03240646645549288,"20일 ‘24시간 활력경제도시 서울’ 발표 외국인 관광객 3000만명·야간소비 5조원↑목표 “저녁을 관광·골목상권의 기회로 만들 것"" [이데일리 이영민 기자] 서울시가 오후 6시부터 이튿날 오전 6시까지 문화·체육·관광·상권을 하나로 묶는 ‘서울형 야간경제’를 본격적으로 추진한다. 시는 늦은 시간까지 운동과 문화생활을 즐기는 시민이 늘어난 만큼 귀가 편의와..."
